Engineering Mathematics,Digital Logic,Computer Organization & Architecture,Programming & Data Structures,Algorithms,Theory of Computation,Compiler Design,Operating Systems,Databases,Computer Networks
False,,,,,,,,,
False,,,,,,,,,
False,,,,,,,,,
False,,,,,,,,,
False,,,,,,,,,
False,,,,,,,,,
False,,,,,,,,,
,False,,,,,,,,
,False,,,,,,,,
,False,,,,,,,,
,False,,,,,,,,
,,False,,,,,,,
,,False,,,,,,,
,,False,,,,,,,
,,False,,,,,,,
,,,False,,,,,,
,,,False,,,,,,
,,,False,,,,,,
,,,False,,,,,,
,,,False,,,,,,
,,,,False,,,,,
,,,,False,,,,,
,,,,False,,,,,
,,,,,False,,,,
,,,,,False,,,,
,,,,,False,,,,
,,,,,,False,,,
,,,,,,False,,,
,,,,,,False,,,
,,,,,,False,,,
,,,,,,,False,,
,,,,,,,False,,
,,,,,,,False,,
,,,,,,,False,,
,,,,,,,,False,
,,,,,,,,False,
,,,,,,,,False,
,,,,,,,,False,
,,,,,,,,,False
,,,,,,,,,False
,,,,,,,,,False
,,,,,,,,,False
,,,,,,,,,False
